,,Daunel:LFHD,,,Daunel:RFHD,,,Daunel:LBHD,,,Daunel:RBHD,,,Daunel:C7,,,Daunel:T10,,,Daunel:CLAV,,,Daunel:STRN,,,Daunel:RBAK,,,Daunel:LSHO,,,Daunel:LUPA,,,Daunel:LELB,,,Daunel:LFRM,,,Daunel:LWRA,,,Daunel:LWRB,,,Daunel:LFIN,,,Daunel:RSHO,,,Daunel:RUPA,,,Daunel:RELB,,,Daunel:RFRM,,,Daunel:RWRA,,,Daunel:RWRB,,,Daunel:RFIN,,,Daunel:LASI,,,Daunel:RASI,,,Daunel:LPSI,,,Daunel:RPSI,,,Daunel:LTHI,,,Daunel:LKNE,,,Daunel:LTIB,,,Daunel:LANK,,,Daunel:LHEE,,,Daunel:LTOE,,,Daunel:RTHI,,,Daunel:RKNE,,,Daunel:RTIB,,,Daunel:RANK,,,Daunel:RHEE,,,Daunel:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,1097.99,-1045.8,1809.38,1215.27,-1144.79,1806.77,1027.13,-1162.75,1770.67,1136.94,-1237.06,1748.46,1095.12,-1250.72,1593.67,1101.68,-1319.54,1331.74,1124.01,-1086.45,1497.99,1131.33,-1054.02,1391.85,1180.86,-1320.16,1505.64,958.84,-1169.45,1560.12,859.311,-1215.21,1324.94,889.149,-1230.32,1161.27,844.223,-1177.58,1084.68,867.451,-1062.74,936.48,841.775,-1131.63,948.874,837.687,-1076.02,850.903,1297.47,-1197.55,1573.31,1380.8,-1239.47,1347.82,1347.92,-1280.59,1211.19,,,,1406.02,-1130.78,977.346,1399.46,-1217.21,972.62,1436.89,-1161.17,872.417,982.188,-1105.11,1065.2,1298.48,-1155.23,1062.1,1059.29,-1327.83,1152.52,1137.34,-1338.44,1158.52,955.502,-1145.27,802.18,982.296,-1148.17,518.524,973.724,-1165.77,365.25,987.666,-1177.65,126.102,1020.26,-1274.97,118.803,1018.71,-1095.26,107.085,1318.15,-1198.72,867.13,1277.26,-1211.8,606.807,1286.61,-1234.67,448.147,1269.49,-1246.31,194.678,1221.51,-1318.09,248.062,1251.71,-1196.13,137.521
11,0,1098.17,-1045.88,1809.37,1215.45,-1144.86,1806.78,1027.31,-1162.82,1770.68,1137.12,-1237.12,1748.46,1095.3,-1250.77,1593.69,1101.83,-1319.62,1331.75,1124.22,-1086.52,1497.98,1131.5,-1054.12,1391.84,1181.03,-1320.22,1505.63,959.018,-1169.51,1560.12,859.482,-1215.33,1324.96,889.292,-1230.43,1161.31,844.326,-1177.72,1084.71,867.488,-1062.9,936.477,841.785,-1131.8,948.916,837.756,-1076.22,850.907,1297.63,-1197.63,1573.29,1380.95,-1239.55,1347.77,1348.08,-1280.67,1211.16,,,,1406.14,-1130.87,977.302,1399.56,-1217.3,972.595,1437,-1161.25,872.366,982.333,-1105.18,1065.21,1298.62,-1155.29,1062.08,1059.45,-1327.87,1152.53,1137.52,-1338.5,1158.51,955.612,-1145.33,802.197,982.37,-1148.2,518.536,973.767,-1165.81,365.272,987.666,-1177.66,126.112,1020.29,-1275.01,118.815,1018.7,-1095.27,107.097,1318.28,-1198.79,867.153,1277.35,-1211.86,606.814,1286.67,-1234.73,448.147,1269.31,-1246.64,194.53,1221.54,-1318.13,248.058,1251.62,-1196.56,137.201
12,0,1098.38,-1046.05,1809.29,1215.64,-1144.93,1806.81,1027.48,-1162.89,1770.69,1137.29,-1237.2,1748.49,1095.49,-1250.82,1593.69,1102.01,-1319.65,1331.74,1124.38,-1086.61,1497.97,1131.67,-1054.22,1391.81,1181.21,-1320.3,1505.64,959.2,-1169.57,1560.15,859.642,-1215.39,1324.99,889.44,-1230.52,1161.35,844.445,-1177.83,1084.75,867.542,-1063.01,936.473,841.876,-1131.95,948.946,837.804,-1076.41,850.915,1297.8,-1197.7,1573.25,1381.14,-1239.58,1347.76,1348.2,-1280.79,1211.18,,,,1406.27,-1130.98,977.3,1399.69,-1217.42,972.561,1437.08,-1161.33,872.34,982.26,-1104.89,1065.5,1298.76,-1155.33,1062.06,1059.63,-1327.92,1152.55,1137.68,-1338.53,1158.52,955.73,-1145.37,802.217,982.436,-1148.23,518.559,973.803,-1165.66,365.212,987.672,-1177.65,126.113,1020.3,-1274.97,118.809,1018.72,-1095.26,107.116,1318.41,-1198.85,867.149,1277.43,-1211.93,606.815,1286.74,-1234.76,448.135,1269.53,-1246.35,194.671,1221.56,-1318.1,248.012,1251.75,-1196.14,137.531
13,0,1098.55,-1046.11,1809.3,1215.82,-1144.97,1806.79,1027.66,-1162.97,1770.7,1137.46,-1237.27,1748.49,1095.67,-1250.89,1593.69,1102.19,-1319.72,1331.75,1124.54,-1086.67,1497.96,1131.82,-1054.28,1391.8,1181.37,-1320.37,1505.64,959.378,-1169.64,1560.15,859.789,-1215.46,1325.01,889.579,-1230.64,1161.39,844.557,-1177.93,1084.78,867.608,-1063.13,936.504,841.964,-1132.09,948.961,837.878,-1076.55,850.911,1297.98,-1197.77,1573.23,1381.28,-1239.68,1347.73,1348.34,-1280.87,1211.14,,,,1406.41,-1131.1,977.269,1399.82,-1217.54,972.561,1437.18,-1161.42,872.313,982.385,-1104.96,1065.52,1298.91,-1155.37,1062.06,1059.81,-1327.97,1152.53,1137.86,-1338.57,1158.51,955.824,-1145.44,802.225,982.509,-1148.25,518.558,973.85,-1165.68,365.229,987.673,-1177.67,126.137,1020.33,-1275,118.8,1018.74,-1095.25,107.105,1318.56,-1198.91,867.143,1277.53,-1212.01,606.81,1286.78,-1234.83,448.12,1269.55,-1246.4,194.656,1221.58,-1318.14,248.009,1251.75,-1196.15,137.56
14,0,1098.75,-1046.07,1809.4,1216.01,-1145.04,1806.8,1027.83,-1163.05,1770.7,1137.66,-1237.33,1748.47,1095.88,-1250.94,1593.67,1102.38,-1319.75,1331.71,1124.74,-1086.76,1497.94,1131.97,-1054.34,1391.78,1181.54,-1320.42,1505.63,959.57,-1169.71,1560.17,859.915,-1215.54,1325.07,889.697,-1230.71,1161.39,844.656,-1178.03,1084.81,867.707,-1063.26,936.497,842.047,-1132.22,949.005,837.929,-1076.71,850.934,1298.18,-1197.82,1573.2,1381.43,-1239.77,1347.72,1348.46,-1280.98,1211.12,,,,1406.53,-1131.19,977.227,1399.93,-1217.63,972.523,1437.28,-1161.52,872.27,982.521,-1105.04,1065.54,1299.1,-1155.41,1062.06,1059.96,-1328.03,1152.52,1138.03,-1338.61,1158.5,955.923,-1145.52,802.259,982.551,-1148.31,518.571,973.886,-1165.73,365.272,987.684,-1177.67,126.142,1020.34,-1275.02,118.82,1018.73,-1095.26,107.125,1318.67,-1198.86,867.096,1277.68,-1212.11,606.838,1286.82,-1234.91,448.144,1269.59,-1246.4,194.685,1221.62,-1318.18,248.004,1251.74,-1196.17,137.549
15,0,1098.92,-1046.15,1809.43,1216.2,-1145.11,1806.81,1028.04,-1163.07,1770.71,1137.83,-1237.39,1748.46,1096.06,-1251,1593.68,1102.53,-1319.78,1331.74,1124.89,-1086.81,1497.91,1132.13,-1054.41,1391.77,1181.72,-1320.49,1505.64,959.754,-1169.77,1560.16,860.085,-1215.59,1325.1,889.812,-1230.8,1161.42,844.826,-1178.12,1084.84,867.778,-1063.35,936.529,842.116,-1132.31,949.037,837.992,-1076.79,850.961,1298.38,-1197.87,1573.19,1381.58,-1239.87,1347.72,1348.6,-1281.08,1211.09,,,,1406.68,-1131.31,977.243,1400.06,-1217.74,972.491,1437.39,-1161.66,872.24,982.654,-1105.08,1065.5,1299.23,-1155.43,1062.05,1060.1,-1328.08,1152.54,1138.21,-1338.65,1158.51,956.034,-1145.62,802.291,982.603,-1148.36,518.584,973.933,-1165.78,365.272,987.694,-1177.67,126.148,1020.35,-1275.02,118.824,1018.73,-1095.26,107.164,1318.81,-1199,867.115,1277.74,-1212.19,606.837,1286.89,-1234.92,448.105,1269.58,-1246.43,194.651,1221.66,-1318.21,248.018,1251.78,-1196.18,137.551
16,0,1099.11,-1046.29,1809.35,1216.37,-1145.16,1806.82,1028.23,-1163.12,1770.71,1138.01,-1237.45,1748.46,1096.23,-1251.05,1593.71,1102.68,-1319.85,1331.78,1125.05,-1086.87,1497.89,1132.3,-1054.51,1391.74,1181.88,-1320.53,1505.64,959.952,-1169.79,1560.17,860.224,-1215.66,1325.15,889.927,-1230.87,1161.45,844.928,-1178.19,1084.86,867.849,-1063.42,936.584,842.188,-1132.4,949.075,838.042,-1076.85,850.99,1298.56,-1197.91,1573.15,1381.73,-1239.93,1347.67,1348.75,-1281.15,1211.08,,,,1406.81,-1131.41,977.191,1400.21,-1217.81,972.449,1437.54,-1161.76,872.212,982.938,-1105.38,1065.33,1299.36,-1155.46,1062.03,1060.29,-1328.15,1152.55,1138.37,-1338.72,1158.52,956.144,-1145.65,802.278,982.653,-1148.42,518.617,973.984,-1165.8,365.283,987.691,-1177.69,126.149,1020.35,-1275.04,118.849,1018.74,-1095.26,107.138,1318.91,-1198.97,867.088,1277.81,-1212.26,606.821,1286.94,-1235,448.106,1269.61,-1246.44,194.694,1221.73,-1318.21,247.989,1251.8,-1196.19,137.563
17,0,1099.31,-1046.32,1809.36,1216.55,-1145.2,1806.83,1028.41,-1163.15,1770.71,1138.18,-1237.51,1748.45,1096.4,-1251.07,1593.71,1102.84,-1319.9,1331.78,1125.25,-1086.92,1497.89,1132.54,-1054.61,1391.72,1182.05,-1320.57,1505.62,960.136,-1169.82,1560.17,860.379,-1215.73,1325.19,890.061,-1230.93,1161.47,845.048,-1178.25,1084.9,867.916,-1063.47,936.626,842.264,-1132.44,949.094,838.098,-1076.92,851.035,1298.73,-1197.97,1573.11,1381.87,-1240.01,1347.64,1348.91,-1281.24,1211.06,,,,1406.94,-1131.56,977.145,1400.35,-1217.9,972.396,1437.72,-1161.93,872.211,983.104,-1105.44,1065.33,1299.57,-1155.48,1062.04,1060.47,-1328.18,1152.54,1138.53,-1338.79,1158.55,956.252,-1145.7,802.27,982.72,-1148.47,518.632,974.086,-1165.84,365.303,987.709,-1177.68,126.161,1020.39,-1275.05,118.826,1018.72,-1095.28,107.125,1319.05,-1199.09,867.103,1277.91,-1212.34,606.803,1287,-1235.05,448.1,1269.62,-1246.48,194.677,1221.79,-1318.29,248.015,1251.8,-1196.2,137.574
18,0,1099.52,-1046.35,1809.37,1216.74,-1145.26,1806.81,1028.59,-1163.19,1770.73,1138.37,-1237.55,1748.45,1096.58,-1251.1,1593.72,1103,-1319.93,1331.78,1125.41,-1086.96,1497.89,1132.72,-1054.69,1391.69,1182.21,-1320.62,1505.62,960.301,-1169.84,1560.19,860.534,-1215.76,1325.21,890.189,-1230.96,1161.5,845.164,-1178.27,1084.92,867.991,-1063.49,936.656,842.351,-1132.47,949.11,838.15,-1076.97,851.084,1298.92,-1197.99,1573.07,1382.06,-1240.08,1347.6,1349.04,-1281.3,1211,,,,1407.12,-1131.69,977.094,1400.51,-1218.03,972.364,1437.81,-1162.08,872.131,983.265,-1105.49,1065.33,1299.68,-1155.49,1062.03,1060.65,-1328.18,1152.55,1138.7,-1338.82,1158.56,956.351,-1145.76,802.312,982.796,-1148.49,518.634,974.097,-1165.83,365.285,987.724,-1177.66,126.158,1020.38,-1275.07,118.863,1018.75,-1095.26,107.135,1319.2,-1199.16,867.093,1278,-1212.42,606.788,1286.99,-1235.16,448.059,1269.53,-1246.74,194.504,1221.8,-1318.25,247.969,1251.7,-1196.57,137.235
19,0,1099.73,-1046.32,1809.46,1216.94,-1145.31,1806.79,1028.77,-1163.23,1770.74,1138.54,-1237.6,1748.45,1096.76,-1251.14,1593.73,1103.15,-1320,1331.78,1125.58,-1086.99,1497.87,1132.86,-1054.77,1391.65,1182.39,-1320.64,1505.62,960.469,-1169.89,1560.22,860.678,-1215.78,1325.22,890.325,-1230.97,1161.51,845.274,-1178.3,1084.96,868.075,-1063.53,936.682,842.423,-1132.49,949.164,838.222,-1076.96,851.097,1299.08,-1198.03,1573.06,1382.17,-1240.16,1347.54,1349.19,-1281.39,1210.99,,,,1407.25,-1131.81,977.049,1400.63,-1218.16,972.34,1437.87,-1162.22,872.07,983.224,-1105.31,1065.54,1299.83,-1155.52,1062.01,1060.77,-1328.26,1152.57,1138.87,-1338.89,1158.6,956.449,-1145.81,802.349,982.867,-1148.51,518.654,974.138,-1165.84,365.32,987.743,-1177.66,126.175,1020.42,-1275.03,118.826,1018.75,-1095.26,107.135,1319.32,-1199.18,867.072,1278.07,-1212.47,606.76,1287.11,-1235.17,448.086,1269.71,-1246.45,194.648,1221.83,-1318.3,247.952,1251.83,-1196.21,137.544
