,,Daunel:LFHD,,,Daunel:RFHD,,,Daunel:LBHD,,,Daunel:RBHD,,,Daunel:C7,,,Daunel:T10,,,Daunel:CLAV,,,Daunel:STRN,,,Daunel:RBAK,,,Daunel:LSHO,,,Daunel:LUPA,,,Daunel:LELB,,,Daunel:LFRM,,,Daunel:LWRA,,,Daunel:LWRB,,,Daunel:LFIN,,,Daunel:RSHO,,,Daunel:RUPA,,,Daunel:RELB,,,Daunel:RFRM,,,Daunel:RWRA,,,Daunel:RWRB,,,Daunel:RFIN,,,Daunel:LASI,,,Daunel:RASI,,,Daunel:LPSI,,,Daunel:RPSI,,,Daunel:LTHI,,,Daunel:LKNE,,,Daunel:LTIB,,,Daunel:LANK,,,Daunel:LHEE,,,Daunel:LTOE,,,Daunel:RTHI,,,Daunel:RKNE,,,Daunel:RTIB,,,Daunel:RANK,,,Daunel:RHEE,,,Daunel:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,988.498,-1056.77,1776.47,1129.23,-1113.8,1798.71,961.672,-1193.53,1749.43,1090.24,-1231.98,1747.9,1043.77,-1274.7,1583.14,1048.78,-1355.21,1320.82,1065.31,-1117.69,1499.51,1076.59,-1083.9,1376.86,1131.46,-1344.59,1497.51,908.335,-1198.37,1548.22,787.755,-1265.2,1331.47,792.701,-1298.6,1166.77,757.669,-1239.56,1086.55,805.562,-1128.82,941.197,762.017,-1188.36,954.342,768.181,-1130.58,857.83,1243.51,-1217.42,1565.96,1345.89,-1228.31,1344.67,1334.04,-1255.14,1179.34,,,,1307.51,-1043.31,1009.66,1345.97,-1117.8,985.386,1349.99,-1025.65,908.968,935.823,-1141.58,1061.79,1246.28,-1206.63,1044.99,998.171,-1369.93,1137.56,1075.21,-1382.46,1147.58,922.792,-1101.56,806.318,961.252,-1049.34,531.657,961.32,-1091.93,383.396,983.854,-1143.32,155.212,1017.78,-1238.49,153.909,1013.42,-1062.18,132.571,1255.22,-1259.34,849.095,1210.09,-1279.1,585.737,1213.12,-1311.17,420.998,1176.14,-1352.59,168.031,1134.98,-1418.27,222.901,1163.11,-1300.07,133.634
11,0,987.733,-1052.2,1776.05,1128.75,-1107.95,1798.76,962.102,-1189.32,1749.02,1091.02,-1226.58,1747.95,1044.96,-1269.67,1583.12,1050.13,-1350.93,1321.16,1065.72,-1112.72,1499.31,1076.82,-1079.25,1376.54,1133.24,-1339.34,1497.85,909.214,-1194.19,1548.17,788.755,-1263.49,1332.35,793.382,-1298.17,1168.04,757.4,-1240.44,1087.37,803.276,-1130.74,940.565,760.614,-1190.9,954.617,765.43,-1134.09,857.375,1244.39,-1211.34,1566.23,1346.95,-1221.17,1345,1335.35,-1247.64,1179.3,,,,1305.62,-1034.21,1011.98,1344.5,-1108.11,986.788,1347.31,-1015.06,911.288,936.384,-1137.65,1062.51,1246.61,-1204.19,1044.48,998.298,-1366.33,1138.23,1075.39,-1379.1,1148.17,924.197,-1096.98,807.347,963.726,-1043.21,532.754,964.119,-1083.12,383.563,987.387,-1129.98,154.462,1021.6,-1224.73,151.861,1017.04,-1048.5,133.179,1255.19,-1258.24,849.036,1209.91,-1279.08,585.754,1213.01,-1311.41,421.067,1176,-1352.76,168.065,1134.67,-1418.4,222.864,1162.87,-1300.4,133.381
12,0,986.715,-1047.52,1775.62,1128.25,-1102.04,1798.82,962.47,-1184.76,1748.45,1091.69,-1220.97,1747.86,1046.04,-1264.4,1583.07,1051.35,-1346.42,1321.48,1066.03,-1107.56,1499.01,1077.11,-1074.46,1376.02,1134.93,-1333.78,1498.07,910.021,-1189.77,1548,789.912,-1261.61,1333.13,794.394,-1297.43,1169.22,757.167,-1241.26,1088.18,800.786,-1132.5,939.662,759.013,-1193.47,954.839,762.661,-1137.7,856.832,1245.22,-1205,1566.39,1348.02,-1213.94,1345.24,1336.61,-1240.11,1179.22,,,,1303.66,-1025.07,1014.2,1343.19,-1098.38,987.99,1344.6,-1004.39,913.467,937.069,-1134.06,1062.79,1246.89,-1201.57,1043.98,998.393,-1362.59,1138.82,1075.48,-1375.54,1148.78,925.646,-1092.27,808.175,966.157,-1036.82,533.646,966.863,-1073.78,383.612,990.707,-1115.86,153.591,1024.73,-1210.68,149.328,1020.69,-1034.06,133.733,1255.17,-1256.97,848.878,1209.82,-1278.95,585.695,1212.9,-1311.61,421.093,1175.89,-1352.92,168.026,1134.43,-1418.5,222.839,1162.84,-1300.63,133.47
13,0,985.805,-1042.55,1775.02,1127.68,-1095.85,1798.76,962.743,-1180.06,1747.83,1092.31,-1215.11,1747.67,1047.13,-1258.78,1582.83,1052.51,-1341.76,1321.7,1066.31,-1102.14,1498.53,1077.27,-1069.42,1375.39,1136.53,-1328.02,1498.24,910.771,-1185.05,1547.74,790.957,-1259.46,1333.82,795.26,-1296.87,1170.48,757.007,-1242.05,1089.02,798.507,-1135.02,938.776,757.502,-1195.83,954.882,759.937,-1141.3,856.222,1245.99,-1198.33,1566.35,1349.07,-1206.6,1345.4,1337.8,-1232.49,1178.95,,,,1301.67,-1015.93,1016.41,1341.7,-1088.51,988.92,1341.58,-993.852,915.601,937.993,-1130.25,1063.1,1247.43,-1199.36,1043.31,998.465,-1358.72,1139.41,1075.59,-1371.88,1149.32,927.125,-1087.46,808.856,968.509,-1030.1,534.441,969.401,-1063.93,383.563,993.88,-1101.12,152.709,1027.37,-1196.11,146.839,1024.43,-1019.03,134.286,1255.15,-1255.28,848.505,1209.82,-1278.72,585.647,1212.91,-1311.69,421.119,1175.67,-1353.05,167.826,1134.32,-1418.65,222.876,1162.98,-1300.62,133.556
14,0,984.91,-1037.3,1774.33,1127.05,-1089.45,1798.6,963.036,-1175.04,1747.07,1092.81,-1209.07,1747.43,1048.08,-1253.05,1582.68,1053.66,-1336.91,1321.96,1066.52,-1096.52,1498.03,1077.47,-1064.18,1374.68,1138.03,-1322.04,1498.39,911.452,-1180.1,1547.37,791.969,-1257.07,1334.4,796.24,-1295.86,1171.52,756.91,-1242.57,1089.62,796.285,-1137.12,937.826,756.15,-1198.18,954.964,757.283,-1145,855.642,1246.67,-1191.64,1566.3,1350.05,-1199.06,1345.5,1339.1,-1224.74,1178.65,,,,1299.61,-1006.86,1018.57,1340.16,-1078.68,989.969,1338.45,-983.288,917.543,938.704,-1126.39,1063.24,1247.58,-1196.14,1042.81,998.614,-1354.63,1139.85,1075.78,-1368.15,1149.81,928.561,-1082.66,809.545,970.737,-1023.1,535.148,972.004,-1053.36,383.422,996.871,-1085.8,151.839,1029.64,-1181.03,144.293,1028.15,-1003.53,134.937,1255.26,-1253.48,848.211,1209.88,-1278.41,585.575,1213.02,-1311.72,421.136,1175.5,-1353.35,167.793,1134.34,-1418.74,222.906,1163.06,-1300.74,133.516
15,0,983.912,-1031.85,1773.63,1126.41,-1082.9,1798.35,963.276,-1169.75,1746.29,1093.35,-1202.72,1747.05,1049.03,-1246.98,1582.35,1054.67,-1331.81,1322.05,1066.7,-1090.65,1497.36,1077.63,-1058.68,1373.87,1139.46,-1315.84,1498.48,912.082,-1174.88,1546.88,793.119,-1254.52,1334.91,797.281,-1294.83,1172.58,756.861,-1243.05,1090.19,794.164,-1139.2,936.753,754.869,-1200.44,955.014,754.772,-1148.66,855.002,1247.31,-1184.66,1566.1,1351,-1191.46,1345.45,1340.28,-1216.96,1178.29,,,,1297.54,-997.882,1020.55,1338.47,-1068.98,991.102,1335.16,-972.733,919.457,939.3,-1122.38,1063.45,1248,-1192.93,1042.26,998.817,-1350.43,1140.28,1075.91,-1364.09,1150.26,930.025,-1077.71,810.191,972.925,-1015.8,535.801,974.34,-1042.46,383.333,999.732,-1069.89,151.053,1031.62,-1165.36,141.815,1031.9,-987.527,135.786,1255.51,-1251.55,847.993,1210.08,-1278.01,585.483,1213.07,-1312.03,420.823,1175.64,-1353.35,167.812,1134.43,-1418.66,222.891,1163.23,-1300.79,133.508
16,0,983.042,-1026.1,1772.78,1125.8,-1076.01,1797.91,963.491,-1164.19,1745.38,1093.81,-1196.14,1746.55,1049.9,-1240.74,1582.02,1055.75,-1326.59,1322.13,1066.87,-1084.55,1496.57,1077.71,-1053.02,1372.89,1140.77,-1309.45,1498.47,912.673,-1169.41,1546.3,794.168,-1251.66,1335.31,798.201,-1293.5,1173.6,756.88,-1243.28,1090.79,792.216,-1141.22,935.575,753.773,-1202.54,954.939,752.409,-1152.24,854.323,1247.9,-1177.45,1565.8,1351.87,-1183.8,1345.4,1341.44,-1209.19,1177.81,,,,1295.39,-988.875,1022.34,1336.86,-1059,991.782,1332.1,-962.409,921.293,940.217,-1118.47,1063.31,1248.26,-1189.56,1041.59,999.029,-1346.1,1140.61,1076.18,-1359.91,1150.65,931.429,-1072.76,810.795,974.851,-1008.38,536.468,976.542,-1031.36,383.328,1002.46,-1053.62,150.433,1033.53,-1149.19,139.267,1035.55,-971.155,136.809,1255.8,-1249.51,847.716,1210.38,-1277.56,585.369,1213.81,-1311.35,421.377,1175.79,-1353.44,167.832,1134.59,-1418.61,222.928,1163.26,-1300.94,133.428
17,0,982.003,-1020.11,1771.86,1125.13,-1068.84,1797.35,963.637,-1158.39,1744.44,1094.22,-1189.34,1745.95,1050.73,-1234.24,1581.64,1056.74,-1321.14,1322.15,1066.95,-1078.2,1495.72,1077.77,-1047.14,1371.84,1141.95,-1302.82,1498.49,913.182,-1163.65,1545.66,795.216,-1248.58,1335.67,799.26,-1291.87,1174.58,756.924,-1243.35,1091.34,790.413,-1143.18,934.454,752.685,-1204.52,954.914,750.159,-1155.81,853.603,1248.42,-1170.09,1565.36,1352.7,-1176.03,1345.13,1342.59,-1201.36,1177.23,,,,1293.3,-980.073,1023.94,1335.26,-1049.53,992.559,1329.11,-952.311,922.966,940.97,-1114.16,1063.36,1248.61,-1186.05,1040.86,999.312,-1341.53,1140.87,1076.43,-1355.56,1150.98,932.835,-1067.64,811.346,976.669,-1000.62,537.013,978.701,-1019.99,383.426,1005.2,-1036.88,149.941,1035.4,-1132.76,137.019,1039.1,-954.373,137.797,1256.19,-1247.24,847.37,1210.79,-1276.85,585.3,1213.89,-1311.44,421.115,1175.93,-1353.5,167.809,1134.74,-1418.57,222.934,1163.43,-1300.99,133.406
18,0,980.952,-1013.9,1770.87,1124.44,-1061.55,1796.71,963.815,-1152.32,1743.35,1094.64,-1182.21,1745.22,1051.45,-1227.51,1581.18,1057.67,-1315.57,1322.12,1066.98,-1071.67,1494.79,1077.83,-1041.11,1370.7,1143.07,-1295.97,1498.36,913.604,-1157.63,1544.86,796.203,-1245.21,1335.97,800.172,-1290.05,1175.41,757.018,-1243.11,1091.82,788.735,-1145,933.306,751.651,-1206.36,954.865,748.106,-1159.19,852.822,1248.84,-1162.53,1564.86,1353.37,-1168.37,1344.85,1343.61,-1193.44,1176.59,,,,1291.31,-971.189,1025.51,1333.41,-1040.04,992.988,1326.22,-942.207,924.497,941.904,-1109.77,1063.3,1249.09,-1182.41,1040.12,999.645,-1336.9,1141.05,1076.8,-1351.05,1151.26,934.066,-1062.39,811.81,978.239,-993.103,537.626,980.63,-1008.55,383.48,1007.78,-1019.91,149.602,1037.22,-1115.49,134.693,1042.3,-937.514,138.995,1256.64,-1244.96,847.064,1211.15,-1276.34,585.07,1213.99,-1311.35,421.077,1176.08,-1353.5,167.752,1134.85,-1418.54,222.981,1163.61,-1300.99,133.36
19,0,979.888,-1007.4,1769.84,1123.77,-1053.9,1795.88,963.886,-1145.91,1742.24,1094.96,-1174.88,1744.37,1052.12,-1220.59,1580.78,1058.65,-1309.78,1322.05,1066.98,-1064.94,1493.64,1077.77,-1034.93,1369.38,1144.11,-1288.94,1498.21,913.987,-1151.44,1543.99,797.092,-1241.58,1336.17,801.213,-1287.88,1176.25,757.164,-1242.66,1092.28,787.259,-1146.69,932.044,750.831,-1208,954.787,746.282,-1162.44,851.998,1249.2,-1154.7,1564.25,1353.88,-1160.46,1344.35,1344.51,-1185.61,1175.88,,,,1289.29,-962.442,1026.77,1332.12,-1030.53,993.535,1323.41,-932.364,925.865,942.8,-1105.08,1063.18,1249.98,-1178.92,1039.61,1000.02,-1332.13,1141.19,1077.04,-1346.35,1151.5,935.185,-1057.07,812.096,979.654,-985.506,538.173,982.424,-997.118,383.645,1010.3,-1002.69,149.521,1039.26,-1098.3,132.818,1045.29,-920.202,140.454,1257,-1242.45,846.526,1211.6,-1275.56,584.999,1214.39,-1311.07,421.058,1176.3,-1353.47,167.821,1134.97,-1418.52,223.112,1163.85,-1300.93,133.265
