,,Daunel:LFHD,,,Daunel:RFHD,,,Daunel:LBHD,,,Daunel:RBHD,,,Daunel:C7,,,Daunel:T10,,,Daunel:CLAV,,,Daunel:STRN,,,Daunel:RBAK,,,Daunel:LSHO,,,Daunel:LUPA,,,Daunel:LELB,,,Daunel:LFRM,,,Daunel:LWRA,,,Daunel:LWRB,,,Daunel:LFIN,,,Daunel:RSHO,,,Daunel:RUPA,,,Daunel:RELB,,,Daunel:RFRM,,,Daunel:RWRA,,,Daunel:RWRB,,,Daunel:RFIN,,,Daunel:LASI,,,Daunel:RASI,,,Daunel:LPSI,,,Daunel:RPSI,,,Daunel:LTHI,,,Daunel:LKNE,,,Daunel:LTIB,,,Daunel:LANK,,,Daunel:LHEE,,,Daunel:LTOE,,,Daunel:RTHI,,,Daunel:RKNE,,,Daunel:RTIB,,,Daunel:RANK,,,Daunel:RHEE,,,Daunel:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,1076.86,-1179.96,1809.3,1208.08,-1259.65,1802.64,1024.52,-1304.68,1766.78,1143.93,-1360.9,1741.4,1099.45,-1378.31,1586.01,1100.21,-1436.32,1317.63,1099.79,-1211.97,1515.02,1099.34,-1165.95,1393.9,1186.23,-1431.51,1487.59,953.432,-1312.3,1565.92,834.188,-1353.75,1337.64,843.948,-1356.64,1168.58,802.065,-1288.48,1101.02,836.266,-1147.66,978.567,800.05,-1213.33,980.955,798.247,-1140,896.22,1291.25,-1299.66,1556.43,1377.43,-1310.62,1329.48,1351.49,-1348.02,1169.5,,,,1339.49,-1150.69,981.72,1366.59,-1231.43,963.375,1375.87,-1147.85,876.843,949.19,-1221.36,1066.47,1266.8,-1227.47,1046.05,1055.51,-1443.89,1137.06,1134.68,-1443.16,1140.75,902.978,-1250.04,802.891,910.286,-1231.46,521.071,897.143,-1255.13,370.759,899.076,-1272.6,132.25,944.018,-1364.51,125.882,916.12,-1184.77,102.67,1274.67,-1262.62,844.27,1225.77,-1272.1,577.042,1224.09,-1288.15,407.127,1185.71,-1311.93,158.099,1154.75,-1390.52,199.525,1159.16,-1250.49,129.427
11,0,1076.35,-1178.72,1808.75,1208.31,-1257.17,1802.67,1025.18,-1304.12,1766.85,1145.24,-1359.28,1741.87,1099.99,-1377.68,1586.07,1100.7,-1435.96,1317.66,1100.22,-1211.43,1514.89,1099.64,-1165.5,1393.78,1186.74,-1430.9,1487.63,953.977,-1311.87,1565.98,834.548,-1354.6,1338.19,843.859,-1358.25,1169.31,801.173,-1291.04,1101.33,833.523,-1151.11,977.478,797.869,-1216.96,980.518,795.131,-1144.49,895.263,1291.71,-1299,1556.3,1378.35,-1311.46,1329.67,1352.61,-1349.77,1169.99,,,,1342.4,-1153.92,980.548,1369.4,-1235.11,963.191,1379.31,-1152.3,875.751,949.505,-1221.27,1066.63,1267.18,-1227.55,1045.78,1056.1,-1443.74,1136.95,1135.21,-1442.83,1140.75,903.128,-1248.21,803.1,910.554,-1228.08,521.512,897.414,-1252.91,371.402,899.331,-1272.29,133.113,944.286,-1364.12,127.131,916.229,-1184.63,103.011,1274.91,-1262.13,844.176,1225.95,-1271.72,576.979,1224.24,-1287.86,407.041,1185.77,-1311.91,158.097,1154.9,-1390.46,199.491,1159.16,-1250.56,129.488
12,0,1075.92,-1177.4,1808.12,1208.47,-1254.65,1802.67,1025.9,-1303.53,1766.9,1146.59,-1357.72,1742.31,1100.62,-1377,1586.13,1101.28,-1435.48,1317.62,1100.61,-1210.76,1514.76,1099.92,-1164.98,1393.66,1187.21,-1430.28,1487.67,954.521,-1311.39,1566.03,834.88,-1355.4,1338.72,843.744,-1359.89,1170.1,800.335,-1293.57,1101.69,830.941,-1154.49,976.466,795.665,-1220.64,980.383,791.991,-1148.93,894.357,1292.19,-1298.25,1556.14,1379.22,-1312.44,1329.91,1353.74,-1351.51,1170.51,,,,1345.31,-1157.18,979.311,1371.87,-1238.55,962.722,1382.87,-1156.69,874.704,949.84,-1221.06,1066.85,1267.38,-1227.21,1045.64,1056.64,-1443.57,1136.87,1135.78,-1442.46,1140.77,903.482,-1246.01,803.193,910.872,-1224.34,522.067,897.801,-1250.32,371.993,899.695,-1271.88,134.065,944.817,-1363.7,128.669,916.457,-1184.4,103.456,1275.31,-1261.69,844.25,1226.15,-1271.35,576.902,1224.39,-1287.59,406.944,1185.79,-1311.92,158.046,1155.08,-1390.45,199.492,1159.16,-1250.64,129.557
13,0,1075.19,-1176.12,1807.67,1208.63,-1251.99,1802.65,1026.66,-1302.94,1766.88,1147.87,-1356.13,1742.84,1101.22,-1376.25,1586.15,1101.83,-1435.06,1317.62,1101.04,-1210.11,1514.66,1100.18,-1164.43,1393.54,1187.68,-1429.56,1487.7,955.071,-1310.92,1566.15,835.284,-1356.21,1339.26,843.767,-1361.43,1170.79,799.466,-1296.13,1102.09,828.387,-1157.83,975.515,793.762,-1224.25,980.122,789.014,-1153.35,893.557,1292.71,-1297.4,1555.97,1380.15,-1313.11,1330.09,1354.89,-1353.11,1170.99,,,,1348.28,-1160.35,978.174,1374.49,-1242.09,962.367,1386.27,-1161.08,873.697,950.221,-1220.89,1067,1267.49,-1226.72,1045.55,1057.18,-1443.4,1136.78,1136.29,-1442.05,1140.79,903.694,-1243.94,803.72,911.201,-1220.23,522.549,898.318,-1247.57,372.798,900.24,-1271.41,135.196,945.554,-1363.15,130.262,916.782,-1184.17,104.014,1275.15,-1261.11,844.024,1226.38,-1271,576.833,1224.5,-1287.35,406.868,1185.83,-1311.96,158.033,1155.25,-1390.41,199.445,1159.17,-1250.72,129.622
14,0,1074.54,-1174.79,1807.04,1208.84,-1249.31,1802.78,1027.45,-1302.31,1766.86,1149.25,-1354.28,1743.23,1101.8,-1375.43,1586.17,1102.34,-1434.57,1317.62,1101.38,-1209.39,1514.48,1100.37,-1163.91,1393.34,1188.16,-1428.76,1487.74,955.643,-1310.41,1566.21,835.681,-1356.9,1339.79,844.006,-1362.89,1171.31,798.733,-1298.58,1102.55,825.889,-1161.01,974.788,791.888,-1227.87,980.058,786.081,-1157.7,892.815,1293.19,-1296.56,1555.83,1381.1,-1313.75,1330.31,1356.02,-1354.65,1171.48,,,,1351.17,-1163.5,977.047,1377.04,-1245.53,962.024,1389.6,-1165.34,872.715,950.514,-1220.7,1067.17,1267.64,-1226.2,1045.5,1057.7,-1443.21,1136.68,1136.78,-1441.61,1140.8,904.448,-1240.99,803.758,911.621,-1215.96,523.095,898.91,-1244.65,373.513,901.009,-1271.01,136.38,946.599,-1362.5,132.016,916.991,-1183.98,104.726,1275.36,-1260.51,843.93,1226.63,-1270.67,576.793,1224.72,-1287.14,406.828,1185.91,-1311.97,158.069,1155.44,-1390.39,199.372,1159.19,-1250.83,129.735
15,0,1073.87,-1173.51,1806.5,1208.92,-1246.5,1802.75,1028.22,-1301.73,1766.83,1150.62,-1352.5,1743.64,1102.41,-1374.59,1586.21,1102.84,-1434.08,1317.65,1101.76,-1208.64,1514.33,1100.61,-1163.28,1393.17,1188.67,-1427.96,1487.82,956.215,-1309.79,1566.28,836.094,-1357.66,1340.38,844.033,-1364.38,1172,798.062,-1301.11,1103.11,823.628,-1164.26,973.905,790.096,-1231.32,979.943,783.326,-1162.02,892.184,1293.62,-1295.56,1555.64,1381.96,-1314.27,1330.51,1357.18,-1356.1,1171.98,,,,1354.05,-1166.61,975.984,1379.49,-1248.92,961.745,1392.76,-1169.65,871.824,950.814,-1220.45,1067.3,1267.69,-1225.62,1045.35,1058.16,-1443,1136.58,1137.19,-1441.17,1140.81,905.247,-1237.79,803.885,912.13,-1211.51,523.671,899.65,-1241.78,374.487,901.882,-1270.49,137.659,948.057,-1361.79,133.916,917.47,-1183.76,105.469,1275.65,-1260.09,843.865,1226.89,-1270.34,576.756,1224.89,-1286.93,406.776,1186.03,-1312.07,158.045,1155.61,-1390.47,199.301,1159.22,-1250.96,129.84
16,0,1073.21,-1172.21,1805.89,1208.96,-1243.6,1802.64,1029.02,-1301.11,1766.74,1152,-1350.58,1743.98,1103,-1373.71,1586.21,1103.31,-1433.5,1317.68,1102.1,-1207.78,1514.11,1100.78,-1162.64,1392.95,1189.13,-1427.06,1487.88,956.765,-1309.11,1566.39,836.585,-1358.3,1340.89,844.113,-1365.89,1172.75,797.4,-1303.41,1103.52,821.311,-1167.61,973.076,788.272,-1234.69,979.915,780.668,-1166.19,891.592,1294.12,-1294.54,1555.49,1382.8,-1314.73,1330.72,1358.27,-1357.44,1172.5,,,,1356.75,-1169.58,974.956,1381.87,-1252.19,961.529,1395.97,-1173.65,870.849,951.107,-1220.15,1067.38,1267.88,-1225.1,1045.32,1058.59,-1442.67,1136.38,1137.53,-1440.71,1140.84,905.763,-1234.87,804.319,912.779,-1207.02,524.335,900.563,-1238.82,375.39,903.15,-1270.04,138.996,949.904,-1361.07,135.846,918.002,-1183.47,106.233,1276.23,-1260.36,843.877,1227.13,-1270.02,576.698,1225.1,-1286.75,406.673,1186.12,-1312.09,158.013,1155.77,-1390.47,199.263,1159.31,-1251.06,129.945
17,0,1072.46,-1170.87,1805.39,1208.96,-1240.68,1802.63,1029.81,-1300.45,1766.69,1153.4,-1348.46,1744.3,1103.58,-1372.67,1586.24,1103.7,-1432.89,1317.72,1102.4,-1206.85,1513.92,1100.95,-1161.94,1392.72,1189.65,-1426.04,1487.92,957.27,-1308.39,1566.5,837.045,-1358.89,1341.46,844.257,-1367.22,1173.44,796.721,-1305.63,1104.01,819.168,-1170.7,972.441,786.664,-1238.02,979.938,778.132,-1170.24,891.063,1294.6,-1293.4,1555.26,1383.59,-1315.13,1330.94,1359.39,-1358.69,1173.01,,,,1359.63,-1172.37,973.861,1384.13,-1255.19,961.249,1399.1,-1177.66,870.046,951.408,-1219.75,1067.46,1268.05,-1224.58,1045.29,1058.94,-1442.16,1136.1,1137.83,-1440.21,1140.9,906.809,-1231.37,804.715,913.484,-1202.46,524.975,901.654,-1235.94,376.352,904.745,-1269.83,140.564,952.275,-1360.3,137.907,918.639,-1183.34,107.208,1275.93,-1258.93,843.771,1227.4,-1269.78,576.638,1225.31,-1286.62,406.673,1186.24,-1312.22,157.989,1155.91,-1390.5,199.216,1159.42,-1251.21,130.13
18,0,1071.45,-1169.52,1804.96,1208.94,-1237.69,1802.52,1030.56,-1299.72,1766.66,1154.75,-1346.53,1744.68,1104.17,-1371.64,1586.27,1104.06,-1432.19,1317.77,1102.76,-1205.93,1513.76,1101.11,-1161.18,1392.51,1190.14,-1425.05,1487.97,957.767,-1307.63,1566.68,837.482,-1359.41,1342.06,844.399,-1368.5,1174.15,796.192,-1307.88,1104.58,817.151,-1173.71,971.868,785.118,-1241.27,980,775.743,-1174.21,890.644,1294.99,-1292.16,1555.04,1384.34,-1315.22,1331.04,1360.41,-1359.82,1173.49,,,,1362.16,-1175.4,972.69,1386.47,-1258.22,960.961,1401.99,-1181.55,869.17,951.764,-1219.27,1067.52,1268.19,-1224.09,1045.22,1059.15,-1441.69,1135.92,1138.05,-1439.67,1140.93,907.469,-1228.24,805.086,914.283,-1197.9,525.672,902.998,-1233.17,377.47,906.57,-1269.64,142.296,955.093,-1359.38,139.821,919.474,-1183.31,108.466,1276.16,-1258.51,843.835,1227.66,-1269.61,576.62,1225.6,-1286.52,406.615,1186.39,-1312.38,157.963,1156.04,-1390.53,199.183,1159.55,-1251.35,130.28
19,0,1070.87,-1168.06,1804.36,1208.92,-1234.76,1802.51,1031.41,-1298.93,1766.61,1156.04,-1344.41,1744.98,1104.73,-1370.57,1586.35,1104.36,-1431.55,1317.88,1103.05,-1204.85,1513.6,1101.24,-1160.38,1392.26,1190.57,-1423.97,1488.01,958.271,-1306.8,1566.82,837.906,-1359.91,1342.7,844.523,-1369.71,1174.88,795.65,-1309.87,1105.01,815.221,-1176.65,971.312,783.755,-1244.37,980.035,773.502,-1178,890.308,1295.4,-1290.96,1554.81,1385.01,-1315.25,1331.2,1361.43,-1360.77,1174.01,,,,1364.61,-1178.04,971.644,1388.71,-1261.07,960.843,1404.78,-1185.43,868.429,952.153,-1218.69,1067.58,1268.3,-1223.54,1045.14,1059.3,-1441.12,1135.77,1138.16,-1439.11,1140.95,908.664,-1223.73,805.164,915.281,-1193.45,526.445,904.525,-1230.45,378.625,908.694,-1269.53,144.095,958.384,-1358.72,142.349,920.481,-1183.4,109.873,1276.33,-1258.08,843.782,1227.89,-1269.43,576.588,1225.86,-1286.45,406.608,1186.56,-1312.56,157.914,1156.06,-1390.58,199.27,1159.7,-1251.51,130.445
