,,Daunel:LFHD,,,Daunel:RFHD,,,Daunel:LBHD,,,Daunel:RBHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,,Daunel:LFHD,,
Frame,Sub Frame, X, Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
10,0,1017.56,-1033.23,1767.78,1165.1,-1069.69,1789.37,1010.39,-1172.62,1740.57,1143.09,-1192.28,1738.6,1098.52,-1243.15,1577.02,1115.87,-1331.46,1317.34,1104.27,-1087.58,1488.09,1113.53,-1056.77,1364.03,1193.32,-1306.19,1494.98,956.448,-1185.21,1538.1,852.153,-1281.46,1324.36,864.305,-1321.74,1162.56,815.061,-1278.13,1081.01,835.798,-1170.89,925.721,805.42,-1236.82,945.71,797.829,-1189.65,844.407,1290.97,-1166.17,1558.63,1402.9,-1207.36,1348.2,1396.32,-1265.47,1191.56,,,,1399.77,-1089.02,983.27,1431.9,-1170.34,977.423,1446.1,-1096.4,882.887,987.169,-1128.62,1062.5,1299.92,-1184.06,1030.06,1062.33,-1354.2,1136.26,1140.73,-1362.38,1145.54,966.092,-1079.92,812.798,998.617,-986.443,543.716,997.861,-958.92,391.96,1021.41,-901.572,162.777,1058.57,-990.328,127.739,1050.55,-813.644,166.881,1306.78,-1252.05,837.841,1260.12,-1296.88,576.385,1261.44,-1337.75,412.534,1222.81,-1392.72,164.379,1186.69,-1460.55,217.431,1204.18,-1339.76,131.111
11,0,1016.05,-1024.77,1765.7,1163.65,-1060.57,1787.74,1009.4,-1164.3,1738.95,1142.28,-1183.45,1737.3,1097.65,-1235.11,1575.81,1115.57,-1324.38,1316.53,1103.86,-1079.84,1486.44,1113.44,-1049.53,1362.25,1192.64,-1298.62,1494.31,955.792,-1177.16,1536.43,851.811,-1274.41,1323.05,864.224,-1315.6,1161.59,814.954,-1272.94,1079.79,835.412,-1167.17,923.463,805.042,-1232.82,944.061,797.446,-1186.72,842.334,1290.22,-1158.37,1557.67,1402.51,-1199.9,1347.47,1396.28,-1257.9,1190.73,,,,1399.54,-1080.98,982.869,1431.66,-1162.13,976.886,1445.77,-1087.69,882.572,987.654,-1121.88,1061.35,1300.23,-1178.43,1028.75,1062.21,-1347.53,1135.39,1140.56,-1355.94,1144.8,965.957,-1073.09,811.815,998.824,-978.745,543.237,998.175,-948.512,391.922,1022.09,-886.684,163.86,1059.9,-974.423,127.126,1050.77,-798.613,169.377,1306.93,-1247.56,836.816,1260.12,-1294.3,575.793,1261.34,-1336.27,412.243,1222.56,-1392.58,164.261,1186.5,-1460.02,217.712,1204.18,-1339.47,130.689
12,0,1014.46,-1016.13,1763.45,1162.13,-1051.41,1785.98,1008.34,-1155.86,1737.23,1141.26,-1174.65,1736.13,1096.74,-1226.94,1574.54,1115.23,-1317.16,1315.66,1103.34,-1071.98,1484.68,1113.33,-1042.06,1360.45,1191.97,-1290.86,1493.6,955.018,-1168.94,1534.59,851.473,-1267.12,1321.63,864.057,-1309.39,1160.58,814.691,-1267.38,1078.39,835.079,-1163,921.112,804.696,-1228.57,942.406,797.083,-1183.32,840.109,1289.53,-1150.38,1556.73,1402.19,-1192.16,1346.78,1396.32,-1250.13,1189.9,,,,1399.06,-1072.27,982.706,1431.26,-1153.34,976.108,1445.25,-1078.91,882.146,988.143,-1114.98,1060.17,1300.49,-1172.67,1027.38,1062.03,-1340.66,1134.48,1140.33,-1349.21,1144,965.942,-1066.06,810.833,998.966,-970.877,542.608,998.46,-938.265,391.821,1022.56,-872.512,164.818,1061.18,-959.467,126.732,1050.81,-784.318,171.63,1307.11,-1242.94,835.907,1260.14,-1291.67,575.218,1261.16,-1334.7,411.869,1222.49,-1392.09,164.227,1186.22,-1459.24,218,1204.23,-1339.17,130.391
13,0,1012.77,-1007.41,1761.14,1160.5,-1042.18,1784.25,1007.22,-1147.22,1735.44,1140.2,-1165.63,1734.68,1095.82,-1218.59,1573.17,1114.88,-1309.68,1314.69,1102.74,-1063.84,1482.86,1113.17,-1034.38,1358.56,1191.23,-1282.84,1492.72,954.274,-1160.57,1532.69,851.093,-1259.67,1320.05,863.862,-1302.86,1159.34,814.434,-1261.56,1076.87,834.665,-1158.41,918.71,804.387,-1223.81,940.559,796.765,-1179.48,837.965,1288.63,-1142.22,1555.67,1401.8,-1184.15,1346.02,1396.38,-1242.16,1188.99,,,,1398.67,-1063.84,982.161,1430.97,-1144.6,975.436,1444.68,-1070.03,881.888,988.546,-1107.88,1058.95,1300.75,-1166.61,1026,1061.84,-1333.52,1133.36,1140.08,-1342.31,1143.11,966.056,-1058.84,809.752,999.15,-962.932,541.892,998.644,-928.201,391.615,1022.96,-859.192,165.546,1062.04,-945.434,126.421,1050.7,-770.846,173.477,1307.36,-1238.33,834.937,1260.22,-1288.82,574.574,1261.07,-1332.95,411.591,1222.31,-1391.62,164.084,1185.95,-1458.35,218.251,1204.27,-1338.81,130.078
14,0,1011.06,-998.491,1758.85,1158.79,-1032.74,1782.44,1005.98,-1138.45,1733.47,1138.97,-1156.45,1733.25,1094.8,-1210.12,1571.75,1114.59,-1302.01,1313.57,1102.09,-1055.55,1481.01,1112.92,-1026.47,1356.63,1190.55,-1274.67,1491.72,953.482,-1152.02,1530.68,850.707,-1252.04,1318.37,863.616,-1295.98,1157.88,814.151,-1255.41,1075.23,834.324,-1153.45,916.34,804.004,-1218.64,938.675,796.451,-1175.14,835.665,1287.79,-1133.9,1554.58,1401.53,-1175.96,1345.22,1396.58,-1233.92,1188.04,,,,1397.96,-1054.75,981.932,1430.68,-1135.49,974.722,1444.02,-1060.41,881.36,988.981,-1100.61,1057.71,1300.97,-1160.45,1024.45,1061.58,-1326.26,1132.26,1139.78,-1335.24,1142.14,966.246,-1051.37,808.652,999.25,-954.609,541.263,998.822,-918.274,391.387,1023.26,-846.556,166.052,1062.83,-932.36,126.298,1050.53,-758.13,174.917,1307.32,-1233.29,833.691,1260.17,-1285.72,573.869,1261.07,-1331.21,411.352,1222.31,-1391.11,164.164,1185.6,-1457.36,218.6,1204.18,-1338.56,129.849
15,0,1009.24,-989.472,1756.42,1157,-1023.2,1780.59,1004.68,-1129.57,1731.47,1137.74,-1147.1,1731.64,1093.81,-1201.41,1570.2,1114.22,-1294.22,1312.48,1101.49,-1047.07,1479.12,1112.65,-1018.4,1354.6,1189.73,-1266.3,1490.73,952.597,-1143.35,1528.55,850.258,-1244.24,1316.55,863.366,-1288.91,1156.38,813.867,-1248.96,1073.55,833.976,-1147.91,913.89,803.646,-1213.05,936.645,796.149,-1170.21,833.27,1286.85,-1125.27,1553.38,1401.15,-1167.49,1344.38,1396.8,-1225.54,1187.12,,,,1397.55,-1045.78,981.498,1430.33,-1126.26,974.065,1443.24,-1051.02,880.956,989.315,-1093.13,1056.38,1301.21,-1154.12,1022.95,1061.3,-1318.79,1131.07,1139.4,-1327.88,1141.11,966.423,-1043.63,807.553,999.397,-946.058,540.532,998.907,-908.47,390.973,1023.43,-834.844,166.3,1063.48,-919.983,125.743,1050.23,-746.238,175.775,1307.28,-1228.02,832.465,1260.11,-1282.43,573.162,1260.94,-1329.3,411.119,1222.4,-1390.46,164.337,1185.16,-1456.37,218.965,1204.14,-1338.19,129.601
16,0,1007.43,-980.38,1754.01,1155.17,-1013.58,1778.71,1003.29,-1120.5,1729.31,1136.41,-1137.75,1730.07,1092.72,-1192.45,1568.55,1113.87,-1286.16,1311.23,1100.7,-1038.43,1477.04,1112.38,-1010.19,1352.58,1188.91,-1257.68,1489.62,951.676,-1134.53,1526.4,849.831,-1236.25,1314.66,863.032,-1281.6,1154.76,813.544,-1242.06,1071.61,833.616,-1142.05,911.411,803.387,-1207.03,934.574,795.793,-1164.76,830.995,1285.84,-1116.5,1552.19,1400.75,-1158.9,1343.56,1397.01,-1216.99,1186.14,,,,1396.8,-1036.28,981.169,1430.01,-1116.71,973.368,1442.53,-1040.98,880.421,989.66,-1085.44,1055.03,1301.36,-1147.59,1021.34,1060.96,-1311.19,1129.77,1139.01,-1320.47,1140.03,966.118,-1035.37,806.417,999.435,-937.149,539.798,998.968,-898.785,390.435,1023.5,-823.923,166.131,1063.87,-908.73,125.278,1049.86,-735.324,176.113,1307.25,-1222.65,831.27,1259.92,-1278.81,572.384,1260.78,-1327.37,410.97,1222.09,-1390.07,164.214,1184.42,-1455.07,219.443,1204.15,-1337.83,129.321
17,0,1005.45,-971.118,1751.5,1153.3,-1003.84,1776.73,1001.87,-1111.38,1727.12,1135.04,-1128.28,1728.32,1091.62,-1183.42,1566.85,1113.51,-1277.95,1309.93,1099.89,-1029.66,1475,1111.96,-1001.68,1350.42,1188.15,-1248.92,1488.51,950.749,-1125.55,1524.15,849.35,-1228.11,1312.62,862.666,-1273.96,1152.96,813.157,-1234.87,1069.63,833.285,-1135.63,908.937,803.013,-1200.57,932.409,795.5,-1158.9,828.551,1284.8,-1107.42,1550.9,1400.39,-1149.91,1342.67,1397.24,-1208.19,1185.18,,,,1396.23,-1026.89,980.679,1429.69,-1107,972.664,1441.93,-1030.76,880.086,989.999,-1077.6,1053.63,1301.55,-1140.93,1019.75,1060.63,-1303.43,1128.45,1138.67,-1312.88,1138.87,966.447,-1027.24,805.218,999.47,-928.054,538.959,998.97,-889.301,389.668,1023.48,-813.745,165.59,1064.07,-898.172,124.271,1049.59,-725.246,175.973,1307.16,-1217.04,830.071,1259.82,-1275.06,571.682,1260.67,-1325.17,410.903,1222.03,-1389.53,164.391,1184.14,-1454.35,220.149,1204.11,-1337.56,129.133
18,0,1003.51,-961.745,1748.98,1151.36,-993.96,1774.68,1000.39,-1102.06,1724.87,1133.6,-1118.2,1726.27,1090.47,-1174.16,1565.06,1113.11,-1269.59,1308.61,1099.04,-1020.59,1472.89,1111.52,-993.089,1348.24,1187.29,-1239.91,1487.28,949.732,-1116.4,1521.82,848.819,-1219.7,1310.57,862.222,-1266.01,1151.05,812.657,-1227.34,1067.58,832.932,-1128.8,906.43,802.574,-1193.6,930.191,795.167,-1152.32,826.116,1283.66,-1098.21,1549.63,1399.97,-1140.81,1341.82,1397.45,-1199.14,1184.15,,,,1395.4,-1016.9,980.403,1429.38,-1097.07,971.957,1441.22,-1020.5,879.729,990.339,-1069.57,1052.15,1301.63,-1134.02,1018.23,1060.32,-1295.5,1127,1138.19,-1305.09,1137.58,966.348,-1018.61,804.084,999.524,-918.711,538.095,998.907,-880.063,388.782,1023.34,-804.536,164.665,1064,-889.002,123.518,1049.34,-715.931,175.187,1307.09,-1211.21,828.821,1259.73,-1271.03,570.905,1260.33,-1322.79,410.682,1221.72,-1388.94,164.58,1183.4,-1452.99,220.805,1204.08,-1337.24,128.995
19,0,1001.46,-952.295,1746.48,1149.35,-983.987,1772.58,998.851,-1092.65,1722.53,1132.11,-1108.66,1724.51,1089.23,-1164.76,1563.19,1112.74,-1261.07,1307.18,1098.05,-1011.41,1470.69,1110.96,-984.332,1346.04,1186.43,-1230.74,1486.06,948.621,-1107.08,1519.47,848.212,-1211.12,1308.4,861.683,-1257.77,1149.01,812.083,-1219.4,1065.39,832.55,-1121.5,903.959,802.145,-1186.18,927.926,794.964,-1145.52,823.678,1282.4,-1088.66,1548.25,1399.58,-1131.39,1341.02,1397.74,-1189.96,1183.23,,,,1394.76,-1006.96,980.05,1429.11,-1086.91,971.329,1440.47,-1009.94,879.304,990.641,-1061.35,1050.73,1301.54,-1126.78,1016.5,1059.92,-1287.41,1125.43,1137.66,-1297.08,1136.24,966.353,-1009.67,802.998,999.592,-909.189,537.119,998.845,-870.999,387.805,1023.15,-796.144,163.421,1063.81,-880.566,122.378,1049.08,-707.493,173.702,1307.03,-1205.17,827.644,1259.56,-1266.62,570.164,1260.09,-1320.17,410.528,1220.93,-1388.63,164.44,1182.68,-1451.32,221.474,1203.97,-1336.84,128.886
